议员姓名,年份,所属党派,备注
Bettina Stark-Watzinger,2019,FDP,
Bettina Stark-Watzinger,2020,FDP,
Bettina Stark-Watzinger,2021,FDP,
Beucher,1991,SPD,
Beuster,1962,SPD,
Beuster,1964,SPD,
Beuster,1965,SPD,
Bewerunge,1963,CDU/CSU,
Bewerunge,1964,CDU/CSU,
Bewerunge,1966,CDU/CSU,
Bewerunge,1967,CDU/CSU,
Bewerunge,1968,CDU/CSU,
Bewerunge,1969,CDU/CSU,
Bewerunge,1970,CDU/CSU,
Bewerunge,1971,CDU/CSU,
Bewerunge,1972,CDU/CSU,
Bewerunge,1973,CDU/CSU,
Bewerunge,1974,CDU/CSU,
Bewerunge,1975,CDU/CSU,
Bewerunge,1976,CDU/CSU,
Biechele,1963,CDU/CSU,
Biechele,1964,CDU/CSU,
Biechele,1965,CDU/CSU,
Biechele,1966,CDU/CSU,
Biechele,1967,CDU/CSU,
Biechele,1968,CDU/CSU,
Biechele,1969,CDU/CSU,
Biechele,1970,CDU/CSU,
Biechele,1971,CDU/CSU,
Biechele,1973,CDU/CSU,
Biechele,1974,CDU/CSU,
Biechele,1975,CDU/CSU,
Biechele,1976,CDU/CSU,
Biechele,1978,CDU/CSU,
Biechele,1980,CDU/CSU,
Biedenkopf,1979,CDU/CSU,
Biehle,1970,CDU/CSU,
Biehle,1971,CDU/CSU,
Biehle,1972,CDU/CSU,
Biehle,1973,CDU/CSU,
Biehle,1974,CDU/CSU,
Biehle,1975,CDU/CSU,
Biehle,1976,CDU/CSU,
Biehle,1977,CDU/CSU,
Biehle,1978,CDU/CSU,
Biehle,1979,CDU/CSU,
Biehle,1980,CDU/CSU,"该年属于多个党派: SPD, CDU/CSU"
Biehle,1980,SPD,"该年属于多个党派: SPD, CDU/CSU"
Biehle,1981,CDU/CSU,
Biehle,1982,CDU/CSU,
Biehle,1983,CDU/CSU,
Biehle,1984,CDU/CSU,
Biehle,1985,CDU/CSU,
Biehle,1986,CDU/CSU,
Biehle,1987,CDU/CSU,
Biehle,1988,CDU/CSU,
Biehle,1989,CDU/CSU,
Biehle,1990,CDU/CSU,
Bielig,1950,SPD,
Bielig,1953,SPD,
"Bielig, Anfragender",1953,SPD,
"Bielig, Antragsteller",1950,SPD,
"Bielig, Berichterstatter",1951,SPD,
Bierling,1991,CDU/CSU,
Biermann,1962,SPD,
Biermann,1963,SPD,
Biermann,1965,SPD,
Biermann,1966,SPD,
Biermann,1968,SPD,
Biermann,1970,SPD,
Biermann,1972,SPD,
Biermann,1973,SPD,
Biermann,1974,SPD,
Biermann,1975,SPD,
Biermann,1976,SPD,
Biermann,1977,SPD,
Biermann,1980,SPD,
Bijan Djir-Sarai,2012,FDP,
Bijan Djir-Sarai,2013,FDP,
Bijan Djir-Sarai,2017,FDP,
Bijan Djir-Sarai,2018,FDP,
Bijan Djir-Sarai,2019,FDP,
Bijan Djir-Sarai,2020,FDP,
Bijan Djir-Sarai,2021,FDP,
Bindig,1977,SPD,
Bindig,1978,SPD,
Bindig,1979,SPD,
Bindig,1980,SPD,
Bindig,1981,SPD,
Bindig,1982,SPD,
Bindig,1983,SPD,
Bindig,1984,SPD,
Bindig,1985,SPD,
Bindig,1986,SPD,
Bindig,1987,SPD,
Bindig,1988,SPD,
Bindig,1989,SPD,
Bindig,1990,SPD,
Bindig,1991,SPD,
Birgit Hamburger,1995,FDP,
Birgit Homburger,1991,FDP,
Birgit Homburger,1992,FDP,
Birgit Homburger,1993,FDP,
Birgit Homburger,1994,FDP,
Birgit Homburger,1995,FDP,
Birgit Homburger,1996,FDP,
Birgit Homburger,1997,FDP,
Birgit Homburger,1998,FDP,
Birgit Homburger,1999,FDP,
Birgit Homburger,2000,FDP,
Birgit Homburger,2001,FDP,
Birgit Homburger,2002,FDP,
Birgit Homburger,2003,FDP,
Birgit Homburger,2004,FDP,
Birgit Homburger,2005,FDP,
Birgit Homburger,2006,FDP,
Birgit Homburger,2007,FDP,
Birgit Homburger,2008,FDP,
Birgit Homburger,2009,FDP,
Birgit Homburger,2010,FDP,
Birgit Homburger,2011,FDP,
Birgit Homburger,2012,FDP,
Birgit Homburger,2013,FDP,
Birgit K?mpel,2014,SPD,
Birgit K?mpel,2015,SPD,
Birgit K?mpel,2016,SPD,
Birgit K?mpel,2017,SPD,
Birgit Menz,2015,DIE LINKE,
Birgit Menz,2016,DIE LINKE,
Birgit Menz,2017,DIE LINKE,
Birgit Roth (Speyer),1999,SPD,
Birgit Roth (Speyer),2000,SPD,
Birgit Roth (Speyer),2001,SPD,
Birgit Roth (Speyer),2002,SPD,
Birgit Schnieber-Jastram,1995,CDU/CSU,
Birgit Schnieber-Jastram,1996,CDU/CSU,
Birgit Schnieber-Jastram,1997,CDU/CSU,
Birgit Schnieber-Jastram,1998,CDU/CSU,
Birgit Schnieber-Jastram,1999,CDU/CSU,
Birgit Schnieber-Jastram,2000,CDU/CSU,
Birgit Schnieber-Jastram,2001,CDU/CSU,
Birgit W?llert,2014,DIE LINKE,
Birgit W?llert,2015,DIE LINKE,
Birgit W?llert,2016,DIE LINKE,
Birgit W?llert,2017,DIE LINKE,
Birgitt Bender,2002,Grüne/Bündnis 90,
Birgitt Bender,2003,Grüne/Bündnis 90,
Birgitt Bender,2004,Grüne/Bündnis 90,
Birgitt Bender,2005,Grüne/Bündnis 90,
Birgitt Bender,2006,Grüne/Bündnis 90,
Birgitt Bender,2007,Grüne/Bündnis 90,
Birgitt Bender,2008,Grüne/Bündnis 90,
Birgitt Bender,2009,Grüne/Bündnis 90,
Birgitt Bender,2010,Grüne/Bündnis 90,
Birgitt Bender,2011,Grüne/Bündnis 90,
Birgitt Bender,2012,Grüne/Bündnis 90,
Birgitt Bender,2013,Grüne/Bündnis 90,
Birgitt Homburger,1993,FDP,
Birke Bull-Bischoff,2017,DIE LINKE,
Birke Bull-Bischoff,2018,DIE LINKE,
Birke Bull-Bischoff,2019,DIE LINKE,
Birkelbach,1952,SPD,
Birkelbach,1955,SPD,
Birkelbach,1957,SPD,
Birkelbach,1958,SPD,
Birkelbach,1960,SPD,
Birkelbach,1961,SPD,
Birkelbach,1962,SPD,
Birkelbach,1963,SPD,
"Birkelbach, Berichterstatter",1950,SPD,
"Birkelbach, Berichterstatter",1951,SPD,
"Birkelbach, Berichterstatter",1954,SPD,
Bittei Meinike (Oberhausen),1976,SPD,
Bittel Exner,1966,CDU/CSU,
Bittelmann,1969,CDU/CSU,
Bittelmann,1970,CDU/CSU,
Bittelmann,1971,CDU/CSU,
Bittelmann,1972,CDU/CSU,
Bittner,1960,SPD,
Bj?rn Simon,2018,CDU/CSU,
Bj?rn Simon,2019,CDU/CSU,
Bj?rn Simon,2020,CDU/CSU,
Bj?rn Simon,2021,CDU/CSU,
Bj?rn S?nger,2009,FDP,
Bj?rn S?nger,2010,FDP,
Bj?rn S?nger,2011,FDP,
Bj?rn S?nger,2012,FDP,
Bj?rn S?nger,2013,FDP,
Blachstein,1950,SPD,
Blachstein,1952,SPD,
Blachstein,1955,SPD,
Blachstein,1958,SPD,
Blachstein,1960,SPD,
Blachstein,1961,SPD,
Blachstein,1962,SPD,
Blachstein,1963,SPD,
Blachstein,1964,SPD,
Blachstein,1967,SPD,
Blachstein,1968,SPD,
"Blachstein, Anfragender",1953,SPD,
"Blachstein, Antragsteller",1952,SPD,
"Blachstein, Berichterstatter",1950,SPD,
"Blachstein, Berichterstatter",1951,SPD,
"Blachstein, Berichterstatter",1952,SPD,
"Blachstein, Berichterstatter",1953,SPD,
"Blachstein, Berichterstatter",1955,SPD,
Blank,1949,CDU/CSU,
Blank,1950,CDU/CSU,
Blank,1958,CDU/CSU,
Blank,1966,CDU/CSU,
Blank,1973,SPD,
Blank,1974,SPD,
Blank,1975,SPD,
Blank,1976,SPD,
Blank,1977,SPD,
Blank,1978,SPD,
Blank (Dortmund),1952,CDU/CSU,
"Blank (Dortmund), Antragsteller",1957,CDU/CSU,
Blei?,1964,SPD,
Blndlg,1981,SPD,
Blumenfeld,1962,CDU/CSU,
Blumenfeld,1963,CDU/CSU,
Blumenfeld,1964,CDU/CSU,
Blumenfeld,1965,CDU/CSU,
Blumenfeld,1966,CDU/CSU,
Blumenfeld,1967,CDU/CSU,
Blumenfeld,1968,CDU/CSU,
Blumenfeld,1969,CDU/CSU,
Blumenfeld,1970,CDU/CSU,
Blumenfeld,1971,CDU/CSU,
Blumenfeld,1972,CDU/CSU,
Blumenfeld,1973,CDU/CSU,
Blumenfeld,1974,CDU/CSU,
Blumenfeld,1975,CDU/CSU,
Blumenfeld,1976,CDU/CSU,
Blumenfeld,1977,CDU/CSU,
Blumenfeld,1978,CDU/CSU,
Blumenfeld,1979,CDU/CSU,
Blücher,1949,FDP,
Bock,1954,CDU/CSU,
Bock,1955,CDU/CSU,
Bock,1956,CDU/CSU,
Bock,1957,CDU/CSU,
Bodensteiner,1952,CDU/CSU,
Bodensteiner,1953,Fraktionslos,
"Bodensteiner, Berichterstatter",1950,CDU/CSU,
"Bodensteiner, Berichterstatter",1952,CDU/CSU,
Bodo Ramelow,2005,DIE LINKE,
Bodo Ramelow,2006,DIE LINKE,
Bodo Ramelow,2007,DIE LINKE,
Bodo Ramelow,2008,DIE LINKE,
Bodo Ramelow,2009,DIE LINKE,
Bodo Seidenthal,1992,SPD,
Bodo Seidenthal,1993,SPD,
Bodo Seidenthal,1994,SPD,
Bodo Seidenthal,1995,SPD,
Bodo Seidenthal,1996,SPD,
Bodo Seidenthal,1997,SPD,
Bodo Seidenthal,1998,SPD,
Bodo Seidenthal,1999,SPD,
Bodo Seidenthal,2000,SPD,
Bodo Seidenthal,2001,SPD,
Bohl,1981,CDU/CSU,
Bohl,1982,CDU/CSU,
Bohl,1983,CDU/CSU,
Bohl,1984,CDU/CSU,
Bohl,1985,CDU/CSU,
Bohl,1986,CDU/CSU,
Bohl,1987,CDU/CSU,
Bohl,1988,CDU/CSU,
Bohl,1989,CDU/CSU,
Bohl,1990,CDU/CSU,
Bohl,1991,CDU/CSU,
Bohlsen,1984,CDU/CSU,
Bohlsen,1985,CDU/CSU,
Bohlsen,1986,CDU/CSU,
Bohlsen,1987,CDU/CSU,
Bohlsen,1989,CDU/CSU,
Bohlsen,1990,CDU/CSU,
Bonn,1966,FDP,
Borchert,1981,CDU/CSU,
Borchert,1982,CDU/CSU,
Borchert,1983,CDU/CSU,
Borchert,1984,CDU/CSU,
Borchert,1985,CDU/CSU,
Borchert,1986,CDU/CSU,
Borchert,1987,CDU/CSU,
Borchert,1988,CDU/CSU,
Borchert,1989,CDU/CSU,
Borchert,1990,CDU/CSU,
Borchert,1991,CDU/CSU,
Borm,1965,FDP,
Borm,1966,FDP,
Borm,1967,FDP,
Borm,1968,FDP,
Borm,1969,FDP,
Borm,1970,EDP,"该年属于多个党派: FDP, EDP"
Borm,1970,FDP,"该年属于多个党派: FDP, EDP"
Borm,1971,FDP,
Borm,1972,FDP,
Born,1969,FDP,
Borner,1963,SPD,
Boroffka,1982,CDU/CSU,
Boroffka,1983,CDU/CSU,
Boroffka,1984,CDU/CSU,
Boroffka,1985,CDU/CSU,
Boroffka,1986,CDU/CSU,
Bothmer,1979,SPD,
Braband,1991,PDS/Linke Liste,
Brand,1958,CDU/CSU,
Brand,1959,CDU/CSU,
Brand,1960,CDU/CSU,
Brand,1962,CDU/CSU,
Brand,1963,CDU/CSU,
Brand,1964,CDU/CSU,
Brand,1965,CDU/CSU,
Brand,1966,CDU/CSU,
Brand,1967,CDU/CSU,
Brand,1968,CDU/CSU,
Brand,1969,CDU/CSU,
Brand (Remscheid),1956,CDU/CSU,
Brand (Remscheid),1957,CDU/CSU,
Brand (Remscheid),1962,CDU/CSU,
"Brand (Remscheid), Berichterstatter",1954,CDU/CSU,
"Brand, Berichterstatter",1958,CDU/CSU,
Brandt,1950,SPD,
Brandt,1951,SPD,
Brandt,1952,SPD,
Brandt,1953,SPD,
Brandt,1969,SPD,
Brandt,1972,SPD,
Brandt,1975,SPD,
Brandt,1976,SPD,
Brandt,1977,SPD,
Brandt,1978,SPD,
Brandt,1979,SPD,
Brandt,1980,SPD,
Brandt,1981,SPD,
Brandt,1982,SPD,
Brandt,1983,SPD,
Brandt,1984,SPD,
Brandt,1985,SPD,
Brandt,1986,SPD,
Brandt,1987,SPD,
Brandt,1988,SPD,
Brandt,1989,SPD,
Brandt,1990,SPD,
Brandt (Berlin),1954,SPD,
Brandt (Berlin),1955,SPD,
Brandt (Berlin),1956,SPD,
Brandt (Berlin),1957,SPD,
Brandt (Berlin),1961,SPD,
"Brandt (Berlin), Anfragender",1955,SPD,
"Brandt (Berlin), Anfragender",1956,SPD,
"Brandt (Berlin), Antragsteller",1955,SPD,
"Brandt (Berlin), Berichterstatter",1954,SPD,
"Brandt (Berlin), Berichterstatter",1955,SPD,
"Brandt (Berlin), Generalberichterstatter",1955,SPD,
Brandt (Grolsheim),1970,SPD,
Brandt (Grolsheim),1971,SPD,
Brandt (Grolsheim),1973,SPD,
Brandt (Grolsheim),1974,SPD,
Brandt (Grolsheim),1975,SPD,
Brandt (Grolsheim),1976,SPD,
Brandt (Grolsheim),1977,SPD,
Brandt (Grolsheim),1978,SPD,
Brandt (Grolsheim),1979,SPD,
Brandt (Grolsheim),1980,SPD,
Brandt (Grolsheim),1981,SPD,
Brandt (Grolsheim),1982,SPD,
"Brandt, Anfragender",1952,SPD,
"Brandt, Anfragender",1955,SPD,
"Brandt, Antragsteller",1951,SPD,
"Brandt, Antragsteller",1952,SPD,
"Brandt, Antragsteller",1953,SPD,
"Brandt, Berichterstatter",1952,SPD,
"Brandt, Berichterstatter",1953,SPD,
"Brandt, Generalberichterstatter",1952,SPD,
Brauer,1987,GRüNE,
Brauer,1988,GRüNE,
Brauer,1989,GRüNE,
Brauer,1990,GRüNE,"该年属于多个党派: Grüne/Bündnis 90, GRüNE"
Brauer,1990,Grüne/Bündnis 90,"该年属于多个党派: Grüne/Bündnis 90, GRüNE"
Braun,1962,SPD,
Braun,1965,SPD,
Braun,1973,CDU/CSU,
Braun,1974,CDU/CSU,
Braun,1975,CDU/CSU,
Braun,1976,CDU/CSU,
Braun,1977,CDU/CSU,
Braun,1978,CDU/CSU,
Braun,1979,CDU/CSU,
Braun,1980,CDU/CSU,
Braun,1981,CDU/CSU,
Braun,1982,CDU/CSU,
Braun,1984,CDU/CSU,
Braun,1985,CDU/CSU,
Braun,1986,CDU/CSU,
BreIdbach,1978,CDU/CSU,
Bredehom,1990,FDP,
Bredehorn,1981,FDP,
Bredehorn,1982,FDP,
Bredehorn,1983,FDP,
Bredehorn,1984,FDP,
Bredehorn,1985,FDP,
Bredehorn,1986,FDP,
Bredehorn,1987,FDP,
Bredehorn,1988,FDP,
Bredehorn,1989,FDP,
Bredehorn,1990,FDP,
Bredl,1971,SPD,
Bredl,1974,SPD,
Breidbach,1969,CDU/CSU,
Breidbach,1970,CDU/CSU,
Breidbach,1971,CDU/CSU,
Breidbach,1972,CDU/CSU,
Breidbach,1973,CDU/CSU,
Breidbach,1974,CDU/CSU,
Breidbach,1975,CDU/CSU,
Breidbach,1976,CDU/CSU,
Breidbach,1977,CDU/CSU,
Breidbach,1978,CDU/CSU,
Breidbach,1979,CDU/CSU,
Breidbach,1980,CDU/CSU,
Bremer,1966,CDU/CSU,
Bremer,1968,CDU/CSU,
Bremer,1969,CDU/CSU,
Bremer,1970,CDU/CSU,
Bremer,1971,CDU/CSU,
Bremer,1973,CDU/CSU,
Bremer,1974,CDU/CSU,
Bremer,1976,CDU/CSU,
Bremm,1970,CDU/CSU,
Bremm,1971,CDU/CSU,
Bremm,1972,CDU/CSU,
Bremm,1973,CDU/CSU,
Bremm,1974,CDU/CSU,
Bremm,1975,CDU/CSU,
Bremm,1976,CDU/CSU,
Brese,1950,CDU/CSU,
Brese,1951,CDU/CSU,
Brese,1954,CDU/CSU,
Brese,1955,CDU/CSU,
Brese,1956,CDU/CSU,
Brese,1957,CDU/CSU,
Brese,1959,CDU/CSU,
Brese,1960,CDU/CSU,
Brese,1961,CDU/CSU,
Brese,1962,CDU/CSU,
Brese,1963,CDU/CSU,
Brese,1964,CDU/CSU,
Brese,1965,CDU/CSU,
Brese,1966,CDU/CSU,
Brese,1967,CDU/CSU,
Brese,1968,CDU/CSU,
Brese,1969,CDU/CSU,
Breuer,1981,CDU/CSU,
Breuer,1982,CDU/CSU,
Breuer,1983,CDU/CSU,
Breuer,1984,CDU/CSU,
Breuer,1985,CDU/CSU,
Breuer,1986,CDU/CSU,
Breuer,1987,CDU/CSU,
Breuer,1988,CDU/CSU,
Breuer,1989,CDU/CSU,
Breuer,1990,CDU/CSU,
Briefs,1991,PDS/Linke Liste,
Brigitte Adler,1991,SPD,
Brigitte Adler,1992,SPD,
Brigitte Adler,1993,SPD,
Brigitte Adler,1994,SPD,
Brigitte Adler,1995,SPD,
Brigitte Adler,1996,SPD,
Brigitte Adler,1997,SPD,
Brigitte Adler,1998,SPD,
Brigitte Adler,1999,SPD,
Brigitte Adler,2000,SPD,
Brigitte Adler,2001,SPD,
Brigitte Baumeister,1991,CDU/CSU,
Brigitte Baumeister,1992,CDU/CSU,
Brigitte Baumeister,1993,CDU/CSU,
Brigitte Baumeister,1994,CDU/CSU,
Brigitte Baumeister,1995,CDU/CSU,
Brigitte Baumeister,1996,CDU/CSU,
Brigitte Baumeister,1997,CDU/CSU,
Brigitte Baumeister,1998,CDU/CSU,
Brigitte Baumeister,1999,CDU/CSU,
Brigitte Baumeister,2000,CDU/CSU,
Brigitte Baumeister,2001,CDU/CSU,
Brigitte Baumeister,2002,CDU/CSU,
Brigitte Freihold,2018,DIE LINKE,
Brigitte Freihold,2019,DIE LINKE,
Brigitte Freihold,2020,DIE LINKE,
Brigitte Freihold,2021,DIE LINKE,
Brigitte Lange,1991,SPD,
Brigitte Lange,1992,SPD,
Brigitte Lange,1994,SPD,
Brigitte Lange,1995,SPD,
Brigitte Lange,1996,SPD,
Brigitte Lange,1997,SPD,
Brigitte Lange,1998,SPD,
Brigitte Lange,1999,SPD,
Brigitte Lange,2000,SPD,
Brigitte Lange,2001,SPD,
Brigitte Lange,2002,SPD,
Brigitte Pothmer,2005,Grüne/Bündnis 90,
Brigitte Pothmer,2006,Grüne/Bündnis 90,
Brigitte Pothmer,2007,Grüne/Bündnis 90,
Brigitte Pothmer,2008,Grüne/Bündnis 90,
Brigitte Pothmer,2009,Grüne/Bündnis 90,
Brigitte Pothmer,2010,Grüne/Bündnis 90,
Brigitte Pothmer,2011,Grüne/Bündnis 90,
Brigitte Pothmer,2012,Grüne/Bündnis 90,
Brigitte Pothmer,2013,Grüne/Bündnis 90,
Brigitte Pothmer,2014,Grüne/Bündnis 90,
Brigitte Pothmer,2015,Grüne/Bündnis 90,
Brigitte Pothmer,2016,Grüne/Bündnis 90,
Brigitte Pothmer,2017,Grüne/Bündnis 90,
Brigitte Schulte (Hameln),1991,SPD,
Brigitte Schulte (Hameln),1992,SPD,
Brigitte Schulte (Hameln),1993,SPD,
Brigitte Schulte (Hameln),1994,SPD,
Brigitte Schulte (Hameln),1995,SPD,
Brigitte Schulte (Hameln),1996,SPD,
Brigitte Schulte (Hameln),1997,SPD,
Brigitte Schulte (Hameln),1998,SPD,
Brigitte Schulte (Hameln),2003,SPD,
Brigitte Schulte (Hameln),2004,SPD,
Brigitte Schulte (Hameln),2005,SPD,
Brigitte Wimmer (Karlsruhe),1999,SPD,
Brigitte Wimmer (Karlsruhe),2001,SPD,
Brigitte Wimmer (Karlsruhe),2003,SPD,
Brigitte Wimmer (Karlsruhe),2004,SPD,
Brigitte Wimmer (Karlsruhe),2005,SPD,
Brigitte Zypries,2008,SPD,
Brigitte Zypries,2010,SPD,
Brigitte Zypries,2011,SPD,
Brigitte Zypries,2012,SPD,
Brigitte Zypries,2013,SPD,
Brigitte Zypries,2015,SPD,
Briick,1970,SPD,
Britta Ha?elmann,2006,Grüne/Bündnis 90,
Britta Ha?elmann,2007,Grüne/Bündnis 90,
Britta Ha?elmann,2008,Grüne/Bündnis 90,
Britta Ha?elmann,2009,Grüne/Bündnis 90,
Britta Ha?elmann,2010,Grüne/Bündnis 90,
Britta Ha?elmann,2011,Grüne/Bündnis 90,
Britta Ha?elmann,2012,Grüne/Bündnis 90,
Britta Ha?elmann,2013,Grüne/Bündnis 90,
Britta Ha?elmann,2014,Grüne/Bündnis 90,
Britta Ha?elmann,2015,Grüne/Bündnis 90,
Britta Ha?elmann,2016,Grüne/Bündnis 90,
Britta Ha?elmann,2017,BüNDNIS 90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, Grüne/Bündnis 90"
Britta Ha?elmann,2017,Grüne/Bündnis 90,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, Grüne/Bündnis 90"
Britta Ha?elmann,2018,BüNDNIS 90/DIE GRüNEN,
Britta Ha?elmann,2019,BüNDNIS 90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Britta Ha?elmann,2019,BüNDNIS?90/DIE GRüNEN,"该年属于多个党派: BüNDNIS 90/DIE GRüNEN, BüNDNIS?90/DIE GRüNEN"
Britta Ha?elmann,2020,BüNDNIS?90/DIE GRüNEN,
Britta Ha?elmann,2021,BüNDNIS?90/DIE GRüNEN,
Britta Katharina Dassler,2018,FDP,
Britta Katharina Dassler,2019,FDP,
Britta Katharina Dassler,2020,FDP,
Britta Katharina Dassler,2021,FDP,
Broil,1977,CDU/CSU,
Broil,1978,CDU/CSU,
Broil,1979,CDU/CSU,
Broil,1980,CDU/CSU,
Broil,1981,CDU/CSU,
Broil,1982,CDU/CSU,
Broil,1983,CDU/CSU,
Broil,1984,CDU/CSU,
Broil,1985,CDU/CSU,
Broil,1986,CDU/CSU,
Broll,1977,CDU/CSU,
Broll,1978,CDU/CSU,
Broll,1979,CDU/CSU,
Broll,1980,CDU/CSU,
Broll,1981,CDU/CSU,
Broll,1982,CDU/CSU,
Broll,1983,CDU/CSU,
Broll,1984,CDU/CSU,
Broll,1985,CDU/CSU,
Broll,1986,CDU/CSU,
Bromme,1950,SPD,
Bromme,1952,SPD,
Brookmann,1950,CDU/CSU,
Brookmann,1951,CDU/CSU,
Brookmann,1952,CDU/CSU,
Brookmann,1953,CDU/CSU,
Brookmann (Kiel),1955,CDU/CSU,
Brookmann (Kiel),1956,CDU/CSU,
Brookmann (Kiel),1957,CDU/CSU,
"Brookmann (Kiel), Antragsteller",1956,CDU/CSU,
"Brookmann (Kiel), Berichterstatter",1957,CDU/CSU,
"Brookmann, Anfragender",1952,CDU/CSU,
"Brookmann, Antragsteller",1953,CDU/CSU,
"Brookmann, Interpellant",1951,CDU/CSU,
Brunhilde Irber,1995,SPD,
Brunhilde Irber,1996,SPD,
Brunhilde Irber,1997,SPD,
Brunhilde Irber,1998,SPD,
Brunhilde Irber,1999,SPD,
Brunhilde Irber,2000,SPD,
Brunhilde Irber,2001,SPD,
Brunhilde Irber,2002,SPD,
Brunhilde Irber,2003,SPD,
Brunhilde Irber,2004,SPD,
Brunhilde Irber,2005,SPD,
Brunhilde Irber,2006,SPD,
Brunhilde Irber,2007,SPD,
Brunhilde Irber,2008,SPD,
Brunhilde Irber,2009,SPD,
Brunner,1950,SPD,
Brunner,1951,SPD,
Brunner,1981,CDU/CSU,
Brunner,1982,CDU/CSU,
Brunner,1983,CDU/CSU,
Brunner,1984,CDU/CSU,
Brunner,1985,CDU/CSU,
Brunner,1986,CDU/CSU,
"Brunner, Berichterstatter",1950,SPD,
"Brunner, Berichterstatter",1951,SPD,
"Br?nner, Berichterstatter",1949,CDU/CSU,
BrüCk,1961,CDU/CSU,
BrüCk,1963,CDU/CSU,
BrüCk,1974,SPD,
BrüCk (Holz),1966,SPD,
BrüCk (Holz),1969,SPD,
BrüCk (K?ln),1966,CDU/CSU,
BrüCk (K?ln),1970,CDU/CSU,
Brück,1954,CDU/CSU,
Brück,1955,CDU/CSU,
Brück,1956,CDU/CSU,
Brück,1957,CDU/CSU,
Brück,1958,CDU/CSU,
Brück,1959,CDU/CSU,
Brück,1960,CDU/CSU,
Brück,1961,CDU/CSU,
Brück,1962,CDU/CSU,
Brück,1963,CDU/CSU,
Brück,1964,CDU/CSU,
Brück,1965,CDU/CSU,
Brück,1969,SPD,
Brück,1970,SPD,
Brück,1973,SPD,
Brück,1974,SPD,
Brück,1976,SPD,
Brück,1977,SPD,
Brück,1982,SPD,
Brück,1983,SPD,
Brück,1984,SPD,
Brück,1985,SPD,
Brück,1986,SPD,
Brück,1987,SPD,
Brück,1988,SPD,
Brück,1989,SPD,
Brück,1990,SPD,
Brück (Holz),1966,CDU/CSU,"该年属于多个党派: SPD, CDU/CSU"
Brück (Holz),1966,SPD,"该年属于多个党派: SPD, CDU/CSU"
Brück (Holz),1967,SPD,
Brück (Holz),1968,SPD,
Brück (Holz),1969,SPD,
Brück (Holz),1971,SPD,
Brück (Holz),1972,SPD,
Brück (K?ln),1965,CDU/CSU,
Brück (K?ln),1966,CDU/CSU,
Brück (K?ln),1967,CDU/CSU,
Brück (K?ln),1968,CDU/CSU,
Brück (K?ln),1969,CDU/CSU,
Brück (K?ln),1970,CDU/CSU,
Brück (K?ln),1971,CDU/CSU,
Brück (K?ln),1972,CDU/CSU,
"Brück, Berichterstatter",1956,CDU/CSU,
BuSchfort,1968,SPD,
BuSchfort,1969,SPD,
Buchstaller,1962,SPD,
Buchstaller,1963,SPD,
Buchstaller,1964,SPD,
Buchstaller,1965,SPD,
Buchstaller,1966,SPD,
Buchstaller,1967,SPD,
Buchstaller,1969,SPD,
Buchstaller,1970,SPD,
Buchstaller,1971,SPD,
Buchstaller,1972,SPD,
Buchstaller,1973,SPD,
Buchstaller,1974,SPD,
Buchstaller,1979,SPD,
Buckpesch,1983,SPD,
Buckpesch,1985,SPD,
Buckpesch,1986,SPD,
Budde,1966,CDU/CSU,
Bueb,1985,GRüNE,
Bueb,1986,GRüNE,
Burgemeister,1955,CDU/CSU,
Burgemeister,1956,CDU/CSU,
Burgemeister,1957,CDU/CSU,
Burgemeister,1959,CDU/CSU,
Burgemeister,1961,CDU/CSU,
Burgemeister,1962,CDU/CSU,
Burgemeister,1963,CDU/CSU,
Burgemeister,1966,CDU/CSU,
Burgemeister,1968,CDU/CSU,
Burgemeister,1969,CDU/CSU,
Burger,1967,CDU/CSU,
Burger,1968,CDU/CSU,
Burger,1969,CDU/CSU,
Burger,1970,CDU/CSU,
Burger,1971,CDU/CSU,
Burger,1972,CDU/CSU,
Burger,1973,CDU/CSU,"该年属于多个党派: SPD, CDU/CSU"
Burger,1973,SPD,"该年属于多个党派: SPD, CDU/CSU"
Burger,1974,CDU/CSU,
Burger,1975,CDU/CSU,
Burger,1976,CDU/CSU,
Burger,1977,CDU/CSU,
Burger,1978,CDU/CSU,
Burger,1979,CDU/CSU,
Burger,1980,CDU/CSU,
Burger,1981,CDU/CSU,
Burgmann,1983,GRüNE,
Burgmann,1984,GRüNE,
Burgmann,1985,GRüNE,
Burkhard Blienert,2014,SPD,
Burkhard Blienert,2015,SPD,
Burkhard Blienert,2016,SPD,
Burkhard Blienert,2017,SPD,
Burkhard Hirsch,1993,FDP,
Burkhard Lischka,2009,SPD,
Burkhard Lischka,2010,SPD,
Burkhard Lischka,2011,SPD,
Burkhard Lischka,2012,SPD,
Burkhard Lischka,2013,SPD,
Burkhard Lischka,2014,SPD,
Burkhard Lischka,2015,SPD,
Burkhard Lischka,2016,SPD,
Burkhard Lischka,2017,SPD,
Burkhard Lischka,2018,SPD,
Burkhard Lischka,2019,SPD,
Burkhard Zurheide,1991,FDP,
Burkhard Zurheide,1992,FDP,
Burkhard Zurheide,1993,FDP,
Burkhard Zurheide,1994,FDP,
